Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2012,Cantalupa,47,242,229,471,71,74,236,107,5,2,5,33,20,6,76,0,0,0,926716 .81,2,0,1460
2012,Cascina Triulza - Expo,73,391,76,467,19,45,26,10,0,1,2,72,112,0,17,0,0,0,1729126 .9,1,0,2204
2012,Centrale,10,9042,8874,17916,2536,4470,8667,3840,500,146,149,608,945,1119,3636,3,3,3,1556077 .52,65,5,878
2012,Chiaravalle,34,598,557,1155,155,167,537,236,24,7,9,27,39,51,220,1,0,0,311640 .12,4,0,0
2012,Città Studi,22,17049,20016,37065,4931,5859,18663,8534,1602,304,447,1067,1349,3260,9515,7,9,6,2207487 .44,88,2,564
2012,Comasina,82,4727,4868,9595,1704,3097,4513,1939,352,85,90,292,366,703,1970,3,2,2,926734 .56,24,1,0
2012,Corsica,25,8687,10416,19103,2567,2952,9468,4177,759,160,212,514,641,1650,4816,6,3,2,1081329 .7,35,2,1930
2012,De Angeli - Monte Rosa,58,9396,11573,20969,3200,2774,10479,4830,830,157,208,590,714,1788,5277,3,2,3,1323078 .54,249,2,1550
2012,Dergano,79,11589,10493,22082,3533,7509,10812,5102,553,211,169,559,1022,1151,3864,3,3,3,1358615 .04,29,3,325
2012,Duomo,1,8155,9063,17218,2727,2557,8454,3871,533,155,142,691,795,1075,3758,4,4,3,2341704 .07,106,8,0
2012,Ex OM - Morivione,37,3693,4149,7842,1333,1311,3639,1568,193,87,131,232,294,553,1623,2,1,1,817976 .68,10,0,510
2012,Farini,78,2097,1876,3973,566,1424,1919,881,83,39,27,152,227,158,614,0,0,0,1010230 .89,17,0,325
2012,Figino,63,853,892,1745,273,282,886,413,46,17,20,60,36,100,347,2,2,1,1424713 .85,11,0,0
2012,Forze Armate,56,11334,12661,23995,3511,3966,12075,5515,798,177,260,666,679,1642,6096,7,5,2,3206902 .39,66,2,0
2012,Gallaratese,65,15447,17543,32990,4412,2756,16761,7398,1351,203,376,850,671,3075,11591,6,6,3,3894538 .21,87,5,2570
2012,Garibaldi Repubblica,9,2506,2835,5341,709,801,2641,1205,184,38,45,207,228,364,1131,1,0,0,785668 .25,27,2,1290
2012,Ghisolfa,70,8121,9235,17356,2672,2973,8576,3731,717,180,189,485,575,1449,3961,0,0,0,1051452 .21,32,0,203
2012,Giambellino,49,15206,16807,32013,4946,7908,16301,7786,1218,310,293,932,1205,2341,7298,2,2,2,1965274 .21,57,4,1890
2012,Giardini Porta Venezia,3,27,30,57,15,12,27,8,0,1,0,1,1,1,5,1,0,0,249646 .83,3,0,0
2012,Gratosoglio - Ticinello,41,9078,9936,19014,3038,2605,8770,3258,575,104,209,498,425,1446,5652,3,4,2,3312818 .32,37,0,2153
2012,Greco,13,7349,7800,15149,2309,3640,7398,3299,593,123,129,464,629,1224,3441,2,2,2,1768669 .43,35,0,3460
2012,Guastalla,4,7016,8296,15312,2284,2193,7549,3343,522,111,162,486,631,1125,3650,6,7,9,1548020 .74,52,2,0
2012,Isola,11,10963,11671,22634,3179,4433,11133,4974,736,213,195,723,968,1498,4732,3,2,2,1322966 .34,53,1,285
2012,Lambrate,23,5170,5365,10535,1772,2162,5060,2324,294,124,133,359,420,675,2003,4,4,2,3096861 .87,39,0,1595
2012,Lodi - Corvetto,35,17604,18684,36288,5104,9040,18132,8245,1449,298,470,1018,1461,2977,8950,9,7,4,3639092 .52,54,4,1680
2012,Lorenteggio,53,6185,7068,13253,2024,1819,6254,2429,634,81,211,308,350,1428,3826,5,4,2,2635327 .1,44,0,2100
2012,Loreto,20,22936,21510,44446,6213,15444,21639,9764,1165,402,306,1464,2500,2391,7799,8,5,3,1747565 .53,56,2,640
2012,Maciachini - Maggiolina,12,12488,13896,26384,3761,5373,13278,6120,1047,209,235,718,952,2119,6259,9,3,2,1674980 .95,51,1,458
2012,Magenta - S. Vittore,7,8129,9532,17661,3039,2287,8495,3476,580,134,160,563,603,1203,3868,6,6,4,1390146 .88,58,4,1840
2012,Maggiore - Musocco,72,2384,2535,4919,756,745,2706,1280,179,53,34,161,121,308,1276,2,2,1,3030188 .71,47,0,0
2012,Mecenate,30,8805,10331,19136,2798,2826,9616,4229,1011,142,263,469,453,2219,5866,4,4,2,3821389 .97,86,0,1940
2012,Muggiano,54,1525,1540,3065,754,204,1333,513,37,45,13,72,84,62,308,1,1,0,444218 .42,7,0,1040
2012,Navigli,44,8127,9179,17306,2437,2656,8645,4189,532,192,137,620,828,1094,3454,4,1,0,1483927 .87,58,2,8020
2012,Niguarda - Cà Granda,14,17354,19448,36802,5293,4829,18483,8266,1499,284,418,925,1014,3133,10263,10,6,4,4251281 .95,115,0,859
2012,Ortomercato,29,2105,2032,4137,577,1459,2093,1021,170,29,44,151,191,333,940,1,1,0,1402519 .65,15,0,1400
2012,Padova,19,18024,18416,36440,5124,12012,18022,8157,1239,336,351,1155,1683,2605,8101,6,4,3,2061945 .5,49,2,650
2012,Pagano,68,7985,9232,17217,3188,1884,8203,3481,635,137,152,476,472,1326,3939,2,2,2,1289734 .29,53,1,1887
2012,Parco Agricolo Sud,87,159,148,307,70,30,124,53,6,2,1,20,17,9,36,0,0,0,5844580 .12,1,0,2750
2012,Parco Bosco in Città,88,289,245,534,137,255,231,113,5,14,3,172,61,11,61,0,0,0,7837668 .61,22,0,100
2012,Parco dei Navigli,86,163,138,301,62,51,137,69,5,2,4,19,24,8,29,0,0,0,3617836 .27,2,0,0
2012,Parco delle Abbazie,85,264,218,482,131,233,213,106,4,9,2,21,25,8,43,0,0,0,13722000,22,0,1940
2012,Parco Forlanini - Ortica,24,544,466,1010,150,309,536,286,27,11,7,53,86,38,127,0,0,0,2925814 .52,16,1,3800
2012,Parco Lambro - Cimiano,18,9196,10779,19975,2729,3101,10094,4541,1038,156,282,545,602,2092,5782,7,4,3,4971969 .5,61,3,1940
2012,Parco Monlué - Ponte Lambro,31,2615,2441,5056,993,1796,2245,1031,88,43,33,208,274,145,697,1,1,0,2639289 .21,21,0,3430
2012,Parco Nord,84,73,62,135,19,42,62,33,2,1,0,7,1,2,15,1,1,0,1533639 .39,12,0,1200
2012,Parco Sempione,8,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,470434 .33,8,0,1350
